class_id,instances,Recall,Precision,F1,group
62,1007,0.991062562064557,0.3353494623654787,0.5011298012789822,Head
38,673,0.9762258543819076,0.19741586538455608,0.3284178952461262,Head
13,520,0.9807692307673447,0.12059588555211145,0.2147820591858174,Head
123,515,0.961165048541823,0.17392832044969292,0.29455519164749655,Head
84,455,0.9560439560418549,0.12667443214906038,0.22370789385343776,Head
127,355,0.9746478873211982,0.10236686390529516,0.18527443088543846,Head
11,281,0.9785714285679337,0.1098196392785131,0.1974774772958953,Head
1,278,0.9819494584802096,0.12983293556079722,0.22934232694360748,Head
74,262,0.9541984732788008,0.10817827780177058,0.1943256896731319,Head
34,237,0.9831223628650502,0.14095583787045315,0.24656084634124076,Head
100,215,0.9860465116233208,0.2756827048110849,0.4308943086007026,Head
51,212,0.9622641509388573,0.08199356913179984,0.15111111096629246,Head
43,208,0.9519230769185004,0.11061452513960301,0.1981981980114669,Head
98,141,0.9929078014113979,0.32786885245824854,0.4929577461039042,Head
88,137,0.9489051094821248,0.08507853403135793,0.15615615600494473,Head
12,136,0.955882352934148,0.09239516702196703,0.16850291623566888,Head
16,134,0.9696969696896236,0.08619528619522815,0.15831787245345352,Head
99,125,0.991999999992064,0.08998548621183601,0.16500332652725333,Head
9,125,0.943999999992448,0.09254901960777055,0.1685714284085602,Head
19,110,0.936363636355124,0.07388809182204169,0.13696808497062266,Head
78,110,0.9636363636276033,0.09430604982198015,0.171799027390006,Head
46,100,0.9799999999901999,0.09333333333324445,0.17043478244960908,Head
61,98,0.9183673469294044,0.05291005291002181,0.10005558633378374,Head
28,97,0.9896907216392815,0.26592797783859856,0.4192139734634255,Head
91,87,0.9540229884947813,0.16338582677133193,0.2789915963880404,Head
41,69,0.9275362318706154,0.06274509803915418,0.11753902651102731,Head
79,63,0.9682539682385992,0.07466340269268708,0.13863636350311728,Head
103,63,0.9523809523658353,0.08450704225340211,0.15523932714613017,Head
40,63,0.9206349206203074,0.06775700934571524,0.12622415656407532,Head
66,63,0.9841269841113631,0.08333333333322132,0.15365551410598402,Head
42,61,0.8852459016248321,0.08181818181805785,0.1497919554618893,Head
82,57,0.8771929824407511,0.03146633102578259,0.060753341366844626,Head
122,49,0.938775510184923,0.056930693069236475,0.10735122509613602,Head
126,47,0.9574468084902672,0.06419400855910956,0.12032085549687938,Head
27,46,0.9565217391096409,0.03049203049200936,0.059100067099210195,Head
35,45,0.8888888888691359,0.046620046619992285,0.08859357687077282,Head
95,43,0.9302325581179016,0.043431053202993015,0.08298755178181548,Head
2,39,0.9743589743339909,0.036398467432915325,0.07017543852693306,Head
107,39,0.9999999999743591,0.15918367346873805,0.27464788708507737,Head
10,39,0.9999999999743591,0.050452781371215456,0.09605911320881055,Medium
32,37,0.8378378378151936,0.0385572139303003,0.07372175972545565,Medium
93,37,0.8648648648414902,0.03547671840350834,0.06815761440764596,Medium
108,34,0.970588235265571,0.03819444444440024,0.07349665916974123,Medium
83,32,0.9062499999716798,0.035236938031548926,0.0678362572377306,Medium
111,31,0.935483870937565,0.042772861356869064,0.08180535957764068,Medium
44,31,0.9677419354526535,0.058939096267074775,0.11111111100247599,Medium
57,29,0.931034482726516,0.03918722786641628,0.07520891357129834,Medium
87,23,0.913043478221172,0.03671328671322253,0.07058823521955794,Medium
5,23,0.9565217390888469,0.07382550335545697,0.1370716509564542,Medium
6,22,0.9999999999545455,0.04471544715438066,0.08560311275819467,Medium
17,20,0.899999999955,0.06164383561622725,0.11538461526388889,Medium
30,19,0.9999999999473684,0.027859237536616042,0.054208273841542844,Medium
29,18,0.8888888888395061,0.04359673024511282,0.0831168830273166,Medium
124,17,0.941176470532872,0.08510638297827071,0.1560975608219869,Medium
20,17,0.8235294117162629,0.024911032028425425,0.04835924001191978,Medium
121,16,0.5624999999648438,0.01991150442473471,0.03846153839533568,Medium
118,16,0.6874999999570313,0.024498886414199336,0.04731182789033646,Medium
71,16,0.8124999999492187,0.03513513513504018,0.06735751287355367,Medium
45,16,0.8124999999492187,0.03241895261837302,0.062350119829983494,Medium
89,15,0.8666666666088889,0.03044496487112308,0.058823529345928625,Medium
59,14,0.8571428570816326,0.022099447513771457,0.0430879712255253,Medium
106,14,0.928571428505102,0.028508771929762044,0.055319148878134904,Medium
15,14,0.928571428505102,0.04436860068244243,0.0846905536583306,Medium
63,13,0.9999999999230769,0.044982698961782065,0.08609271514883118,Medium
97,13,0.7692307691715976,0.015847860538802144,0.031055900581463874,Medium
37,12,0.9999999999166667,0.02603036876350102,0.050739957667034666,Medium
14,12,0.9999999999166667,0.02494802494797308,0.048681541534456016,Medium
80,12,0.9166666665902777,0.024282560706348162,0.0473118279065048,Medium
4,11,0.9999999999090909,0.05339805825216797,0.10138248838208498,Medium
85,11,0.8181818181074381,0.027692307692222487,0.05357142850777707,Medium
96,10,0.89999999991,0.03629032258049883,0.06976744178540953,Medium
39,10,0.79999999992,0.0509554140124143,0.09580838311979635,Medium
3,9,0.777777777691358,0.02077151335305409,0.04046242769476094,Medium
125,9,0.9999999998888889,0.043689320388137436,0.08372093015156301,Medium
48,9,0.9999999998888889,0.05660377358454967,0.10714285704017858,Medium
49,8,0.874999999890625,0.02071005917153636,0.04046242770025728,Medium
90,8,0.74999999990625,0.02027027027020179,0.03947368415902009,Medium
115,7,0.8571428570204082,0.02575107296126287,0.04999999994295139,Medium
58,6,0.9999999998333333,0.013574660633453452,0.026785714259167728,Medium
102,6,0.6666666665555555,0.016806722689005016,0.03278688519766192,Medium
53,6,0.9999999998333333,0.02764976958512604,0.05381165913997868,Medium
128,6,0.9999999998333333,0.015345268542160242,0.03022670022196702,Medium
101,6,0.8333333331944445,0.011061946902630394,0.021834061109418205,Medium
64,5,0.59999999988,0.00852272727270306,0.016806722661362586,Medium
94,5,0.79999999984,0.01136363636360408,0.022408963557689746,Medium
56,5,0.0,0.0,0.0,Medium
8,5,0.9999999998,0.03597122302132395,0.06944444437644676,Medium
24,5,0.39999999992,0.005479452054779508,0.010810810784090578,Medium
86,5,0.9999999998,0.041322314049245266,0.0793650792876039,Medium
18,5,0.79999999984,0.013157894736798823,0.025889967605534085,Medium
77,5,0.9999999998,0.04854368931991705,0.092592592502572,Medium
33,5,0.9999999998,0.03846153846124261,0.0740740740016461,Tail
72,4,0.7499999998125,0.011764705882306806,0.023166023135433284,Tail
75,4,0.99999999975,0.018867924528212888,0.037037037000342936,Tail
109,4,0.2499999999375,0.006289308176061074,0.012269938602280855,Tail
65,4,0.499999999875,0.008810572687185858,0.01731601728183505,Tail
104,3,0.9999999996666666,0.018633540372555074,0.03658536581729625,Tail
22,3,0.9999999996666666,0.007352941176452566,0.01459854013142238,Tail
130,3,0.9999999996666666,0.01382488479256302,0.027272727245578512,Tail
7,3,0.9999999996666666,0.010416666666630499,0.020618556680483225,Tail
60,3,0.6666666664444444,0.010362694300464442,0.020408163234954188,Tail
119,3,0.9999999996666666,0.01675977653621922,0.03296703293424706,Tail
47,3,0.6666666664444444,0.013422818791856224,0.02631578943464335,Tail
69,3,0.6666666664444444,0.022471910112107057,0.04347826080552931,Tail
70,3,0.9999999996666666,0.014218009478605603,0.02803738314966373,Tail
116,2,0.9999999995,0.007380073800710775,0.014652014637362636,Tail
120,2,0.9999999995,0.010204081632601,0.02020202018181818,Tail
129,2,0.9999999995,0.008264462809883206,0.016393442606557382,Tail
117,2,0.9999999995,0.010050251256230904,0.019900497492537316,Tail
114,2,0.9999999995,0.00877192982452293,0.01739130433043478,Tail
112,2,0.49999999975,0.004237288135575266,0.00840336132780171,Tail
81,2,0.49999999975,0.004545454545433885,0.009009008991072156,Tail
55,2,0.9999999995,0.014925373134216977,0.02941176467647059,Tail
105,2,0.49999999975,0.004545454545433885,0.009009008991072156,Tail
26,2,0.0,0.0,0.0,Tail
54,1,0.9999999989999999,0.0028490028489947324,0.0056818181761202225,Tail
36,1,0.9999999989999999,0.006993006992958091,0.01388888887490355,Tail
25,1,0.9999999989999999,0.005988023952059952,0.01190476189278628,Tail
23,1,0.9999999989999999,0.004201680672251254,0.008368200828416869,Tail
52,1,0.9999999989999999,0.005813953488338291,0.011560693629990976,Tail
113,1,0.0,0.0,0.0,Tail
21,1,0.9999999989999999,0.001968503937003999,0.003929273080542379,Tail
67,1,0.9999999989999999,0.006097560975572576,0.012121212109017445,Tail
76,1,0.0,0.0,0.0,Tail
31,1,0.0,0.0,0.0,Tail
110,0,0.0,0.0,0.0,Tail
68,0,0.0,0.0,0.0,Tail
50,0,0.0,0.0,0.0,Tail
73,0,0.0,0.0,0.0,Tail
92,0,0.0,0.0,0.0,Tail
